No,Species,Light,Microbe,Adult,Bench,Harvest,Time,Event,AMFCount,AMFIntersections,AMF,Phenolics,NSC,Lignin,AMF_Imp,PHN_Imp,NSC_Imp,LIG_Imp
12,Acru,Low,Control,NA,1,3,21,0,NA,NA,NA,NA,4.58,NA,61.5,-0.09,7.36,5.94
18,Acne,Low,Control,NA,1,6,42,0,NA,NA,NA,NA,8.11,NA,49.84,0.03,8.31,7.27
26,Acsa,Low,Control,NA,1,6,42,0,NA,NA,NA,NA,6.33,NA,50,0.12,9.8,2.7
48,Acru,Low,Control,NA,1,6,42,0,NA,NA,NA,NA,9.79,NA,77,0.01,10.06,4.86
56,Acru,Low,Control,NA,1,9,63,0,NA,NA,NA,NA,7.49,NA,59.36,0.23,12.9,13.08
57,Acne,Low,Control,NA,1,9,63,0,NA,NA,NA,NA,5.39,NA,72.41,0.02,9.39,5.37
63,Acsa,Low,Control,NA,1,9,63,0,NA,NA,NA,NA,15.31,NA,71.17,-0.02,9.14,5.07
66,Acsa,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,48.88,0.15,10.6,8.15
69,Acne,Low,Control,NA,1,NA,34,1,NA,NA,NA,NA,NA,NA,73.98,0.16,12.01,6.63
83,Acru,Low,Control,NA,1,NA,18,1,NA,NA,NA,NA,NA,NA,69.13,0.03,9.81,11.51
84,Acru,Low,Control,NA,1,3,21,0,0,73,0,-0.32,NA,7.72,33.33,0.02,7.74,6.87
86,Acne,Low,Control,NA,1,3,21,0,0,100,0,0.3,NA,4.54,68.88,0.03,9.55,11.21
88,Acru,Low,Control,NA,1,6,42,0,0,100,0,-0.13,NA,3.81,71.11,0.18,11.29,11.8
98,Acru,Low,Control,NA,1,9,63,0,0,100,0,-0.2,NA,7.85,66,0.1,9.2,10.38
103,Acru,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,50,0.04,8.42,5.79
109,Acsa,Low,Control,NA,1,3,21,0,0,100,0,0.13,NA,9.11,64,0.17,10.9,4.47
115,Acsa,Low,Control,NA,1,6,42,0,0,100,0,-0.17,NA,12,86.05,0.08,10.81,6.44
119,Acsa,Low,Control,NA,1,9,63,0,0,100,0,-0.01,NA,14.39,72.41,0.02,9.39,5.37
125,Acne,Low,Control,NA,1,6,42,0,0,100,0,-0.38,NA,5.77,48,0.16,10.76,10.58
132,Acsa,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,29,-0.08,6.87,5.81
146,Acru,Low,Control,NA,1,3,21,0,NA,NA,NA,NA,7.69,NA,48.31,0.18,12.11,7.73
153,Acru,Low,Control,NA,1,6,42,0,NA,NA,NA,NA,11.8,NA,71.52,0.1,10.48,11.69
160,Acsa,Low,Control,NA,1,3,21,0,NA,NA,NA,NA,11.97,NA,49.39,0.08,9.37,8.24
161,Acru,Low,Control,NA,1,9,63,0,NA,NA,NA,NA,2.7,NA,40.43,-0.12,6.92,6.95
163,Acne,Low,Control,NA,1,9,63,0,0,100,0,-0.07,NA,5.41,72.41,0.02,9.39,5.37
172,Acne,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,66,-0.08,7.87,6.06
175,Acne,Low,Control,NA,1,3,21,0,NA,NA,NA,NA,9.07,NA,69,0.2,11.37,11.72
177,Acru,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,76,-0.02,9.35,5.5
178,Acru,Low,Control,NA,1,3,21,0,0,100,0,0.26,NA,6.11,48.45,0.03,8.44,7.72
180,Acsa,Low,Control,NA,1,6,42,0,NA,NA,NA,NA,8.04,NA,39.75,-0.12,6.12,7.82
184,Acru,Low,Control,NA,1,6,42,0,0,100,0,-0.26,NA,6.27,83.58,0.07,10.59,10.41
190,Acsa,Low,Control,NA,1,9,63,0,NA,NA,NA,NA,4.79,NA,51,-0.08,6.51,10.11
192,Acne,Low,Control,NA,1,6,42,0,NA,NA,NA,NA,8.7,NA,48.45,0.03,8.44,7.72
195,Acne,Low,Control,NA,1,9,63,0,NA,NA,NA,NA,9.95,NA,74,0.02,9.67,4.9
198,Acne,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,48.45,0.03,8.44,7.72
200,Acne,Low,Control,NA,1,3,21,0,0,100,0,-0.06,NA,5.23,54.08,-0.22,6.97,7.24
208,Acsa,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,52.94,-0.1,6.29,7.67
215,Acsa,Low,Control,NA,1,3,21,0,0,100,0,0.26,NA,13.07,38,-0.05,7.08,3.42
217,Acne,Low,Control,NA,1,6,42,0,0,100,0,0.04,NA,5.29,39.39,0.04,7.98,7.07
219,Acsa,Low,Control,NA,1,6,42,0,1,100,1,0.16,NA,12.77,48,-0.08,7.35,7.03
224,Acru,Low,Control,NA,1,9,63,0,0,100,0,-0.25,NA,4.19,67.56,0.03,9.88,11.53
230,Acsa,Low,Control,NA,1,9,63,0,0,100,0,0.31,NA,16.64,57.5,-0.03,8.37,12.22
232,Acsa,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,62,0.01,10.23,17.3
240,Acru,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,34,-0.11,5.8,10.36
252,Acru,Low,Control,NA,1,3,21,0,NA,NA,NA,NA,5.97,NA,48.45,0.03,8.44,7.72
262,Acru,Low,Control,NA,1,6,42,0,NA,NA,NA,NA,6.83,NA,49,0.25,13.11,13.61
263,Acru,Low,Control,NA,1,9,63,0,NA,NA,NA,NA,7.1,NA,48.45,0.03,8.44,7.72
270,Acne,Low,Control,NA,1,9,63,0,0,95,0,-0.2,NA,4.52,60.4,0.19,12.02,12.85
273,Acru,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,65.57,0,8.96,10.46
276,Acsa,Low,Control,NA,1,3,21,0,NA,NA,NA,NA,5.61,NA,67.56,0.03,9.88,11.53
278,Acne,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,64.89,-0.01,8.62,9.96
288,Acne,Low,Control,NA,1,3,21,0,NA,NA,NA,NA,7.79,NA,72.41,0.02,9.39,5.37
293,Acne,Low,Control,NA,1,6,42,0,NA,NA,NA,NA,7.02,NA,47.28,0.09,9.72,7.44
295,Acne,Low,Control,NA,1,9,63,0,NA,NA,NA,NA,7.7,NA,67.56,0.03,9.88,11.53
301,Acru,Low,Control,NA,1,3,21,0,0,100,0,-0.1,NA,4.24,68.87,0.02,9.56,11.21
302,Acne,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,72,-0.02,9.19,11.54
305,Acru,Low,Control,NA,1,6,42,0,0,100,0,-0.3,NA,4.55,65,0.03,8.18,8.54
307,Acne,Low,Control,NA,1,3,21,0,0,100,0,-0.22,NA,4.7,53.04,-0.1,4.85,8.52
310,Acsa,Low,Control,NA,1,6,42,0,NA,NA,NA,NA,11.31,NA,68.48,0.03,9.77,11.62
315,Acsa,Low,Control,NA,1,9,63,0,NA,NA,NA,NA,7.99,NA,39.86,-0.12,5.85,8.51
318,Acne,Low,Control,NA,1,6,42,0,0,100,0,-0.27,NA,4.2,79.74,0.17,12.59,7.16
319,Acsa,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,72.41,0.02,9.39,5.37
320,Acne,Low,Control,NA,1,9,63,0,0,100,0,0.06,NA,5.18,67.56,0.03,9.88,11.53
321,Acru,Low,Control,NA,1,9,63,0,0,100,0,-0.21,NA,5.48,70,0.12,10.75,12.61
322,Acru,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,72.41,0.02,9.39,5.37
325,Acru,Low,Control,NA,1,3,21,0,NA,NA,NA,NA,4.48,NA,52.59,0.14,10.47,8.06
337,Acsa,Low,Control,NA,1,3,21,0,0,100,0,0.19,NA,13.2,59,-0.29,7.42,3.78
340,Acsa,Low,Control,NA,1,6,42,0,0,100,0,0.01,NA,13.06,64.08,0.18,11.74,12.08
357,Acsa,Low,Control,NA,1,9,63,0,0,100,0,0.09,NA,15.57,78.86,0.18,12.65,7.23
371,Acru,Low,Control,NA,1,6,42,0,NA,NA,NA,NA,9.07,NA,76.53,0.05,10.22,11.53
385,Acru,Low,Control,NA,1,9,63,0,NA,NA,NA,NA,4.77,NA,80.97,0.29,18.16,8.44
389,Acne,Low,Control,NA,1,NA,37,1,NA,NA,NA,NA,NA,NA,53,0.05,8.43,5.5
392,Acne,Low,Control,NA,1,3,21,0,NA,NA,NA,NA,13.18,NA,42.31,0.03,8.08,7.72
394,Acsa,Low,Control,NA,1,NA,63,1,NA,NA,NA,NA,NA,NA,68,0.16,11.45,7.13
396,Acsa,Low,Control,NA,1,3,21,0,NA,NA,NA,NA,14.37,NA,60.38,0.2,12.27,12.97
398,Acne,Low,Control,NA,1,6,42,0,NA,NA,NA,NA,7.93,NA,67.75,0.02,9.45,11.14
399,Acsa,Low,Control,NA,1,6,42,0,NA,NA,NA,NA,9.41,NA,62.19,-0.04,7.88,5.59
404,Acru,Low,Control,NA,2,NA,18,1,NA,NA,NA,NA,NA,NA,79.37,0.17,12.52,7.04
418,Acne,Low,Control,NA,2,9,63,0,NA,NA,NA,NA,6.14,NA,45.45,0.15,10.89,6.82
425,Acne,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,48.45,0.03,8.44,7.72
427,Acne,Low,Control,NA,2,3,21,0,0,100,0,-0.09,NA,4.55,50.51,0.1,9.39,8.25
429,Acne,Low,Control,NA,2,6,42,0,0,100,0,0.02,NA,4.55,70,-0.08,8.43,5.31
430,Acru,Low,Control,NA,2,3,21,0,0,100,0,-0.29,NA,4.92,67.56,0.03,9.88,11.53
442,Acne,Low,Control,NA,2,9,63,0,0,100,0,0.05,NA,4.77,72.41,0.02,9.39,5.37
445,Acne,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,48.45,0.03,8.44,7.72
449,Acsa,Low,Control,NA,2,9,63,0,NA,NA,NA,NA,9.39,NA,77,-0.01,10.01,10.71
457,Acne,Low,Control,NA,2,3,21,0,NA,NA,NA,NA,7.69,NA,78.12,0.23,13.67,7.64
462,Acru,Low,Control,NA,2,6,42,0,0,100,0,-0.11,NA,6.34,72.41,0.02,9.39,5.37
466,Acsa,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,47.42,0.01,8.09,7.28
473,Acne,Low,Control,NA,2,6,42,0,NA,NA,NA,NA,6.8,NA,72.33,0.16,11.83,6.71
485,Acsa,Low,Control,NA,2,3,21,0,0,100,0,0.32,NA,13.53,48.45,0.03,8.44,7.72
486,Acsa,Low,Control,NA,2,6,42,0,0,100,0,0.05,NA,11.33,67.56,0.03,9.88,11.53
492,Acsa,Low,Control,NA,2,9,63,0,0,100,0,0.02,NA,13.11,74.88,0.04,10.12,7.03
494,Acne,Low,Control,NA,2,9,63,0,NA,NA,NA,NA,8.2,NA,48,-0.12,7.08,6.68
507,Acsa,Low,Control,NA,2,NA,17,1,NA,NA,NA,NA,NA,NA,48.45,0.03,8.44,7.72
512,Acne,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,47.06,-0.09,7.49,7.75
516,Acsa,Low,Control,NA,2,3,21,0,NA,NA,NA,NA,6.57,NA,45.16,0.02,8.14,7.61
518,Acru,Low,Control,NA,2,9,63,0,0,100,0,-0.15,NA,5.46,48,-0.04,7.02,10.53
524,Acru,Low,Control,NA,2,NA,36,1,NA,NA,NA,NA,NA,NA,60,0.04,8.41,5.37
532,Acsa,Low,Control,NA,2,6,42,0,NA,NA,NA,NA,13.42,NA,72.41,0.02,9.39,5.37
543,Acne,Low,Control,NA,2,3,21,0,0,100,0,-0.18,NA,5.53,67.56,0.03,9.88,11.53
546,Acru,Low,Control,NA,2,3,21,0,NA,NA,NA,NA,6.54,NA,67.56,0.03,9.88,11.53
551,Acsa,Low,Control,NA,2,9,63,0,NA,NA,NA,NA,13.26,NA,57.14,-0.09,5.71,8.56
570,Acsa,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,65.27,-0.03,9.01,10.11
583,Acne,Low,Control,NA,2,6,42,0,0,100,0,-0.11,NA,5.32,62,0.01,10.23,14.75
586,Acru,Low,Control,NA,2,6,42,0,NA,NA,NA,NA,10.51,NA,51.41,0.04,8.67,8.56
592,Acsa,Low,Control,NA,2,3,21,0,0,100,0,0.03,NA,13.01,83.72,0.09,11.34,11.05
595,Acru,Low,Control,NA,2,9,63,0,NA,NA,NA,NA,8.82,NA,61.3,0.19,12.09,12.72
596,Acne,Low,Control,NA,2,9,63,0,0,100,0,0.17,NA,5.59,71.63,0.14,11.66,6.77
597,Acne,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,31,-0.16,5.47,8.56
614,Acru,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,72,0.11,10.33,7.01
624,Acsa,Low,Control,NA,2,6,42,0,0,100,0,0.05,NA,13.96,68.42,0.03,9.8,11.62
626,Acru,Low,Control,NA,2,3,21,0,0,100,0,0.03,NA,6.84,48.45,0.03,8.44,7.72
628,Acsa,Low,Control,NA,2,9,63,0,0,100,0,0.08,NA,14.33,70,-0.01,8.79,3.78
638,Acne,Low,Control,NA,2,3,21,0,NA,NA,NA,NA,6.64,NA,72,-0.01,9.05,1.77
640,Acru,Low,Control,NA,2,6,42,0,0,100,0,-0.42,NA,9.32,63.61,-0.05,8.86,11.24
642,Acru,Low,Control,NA,2,9,63,0,0,100,0,-0.33,NA,4.13,43.29,0.16,11.15,6.6
653,Acsa,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,64,-0.17,8.75,12.17
656,Acsa,Low,Control,NA,2,3,21,0,NA,NA,NA,NA,6.88,NA,66.88,0.03,10.1,12.07
658,Acsa,Low,Control,NA,2,6,42,0,NA,NA,NA,NA,9.68,NA,67.56,0.03,9.88,11.53
659,Acne,Low,Control,NA,2,6,42,0,NA,NA,NA,NA,7.52,NA,72.41,0.02,9.39,5.37
660,Acru,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,65,-0.03,8.39,4.96
661,Acsa,Low,Control,NA,2,9,63,0,NA,NA,NA,NA,8.98,NA,48.45,0.03,8.44,7.72
670,Acru,Low,Control,NA,2,3,21,0,NA,NA,NA,NA,2.94,NA,74.92,0.16,12.06,6.69
678,Acsa,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,67.56,0.03,9.88,11.53
685,Acru,Low,Control,NA,2,6,42,0,NA,NA,NA,NA,3.05,NA,64.91,0.15,11.05,12.21
692,Acsa,Low,Control,NA,2,3,21,0,0,100,0,0.08,NA,12.49,52.21,-0.11,5.06,8.61
696,Acne,Low,Control,NA,2,9,63,0,NA,NA,NA,NA,6.66,NA,44,0.1,9.11,9.3
698,Acsa,Low,Control,NA,2,6,42,0,0,100,0,-0.01,NA,9.09,48.45,0.03,8.44,7.72
699,Acne,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,46.71,-0.04,7.66,7.7
702,Acsa,Low,Control,NA,2,9,63,0,0,100,0,0.11,NA,12.52,61.39,-0.08,7.58,5.88
709,Acru,Low,Control,NA,2,9,63,0,NA,NA,NA,NA,5.68,NA,68,0.01,8.58,9.23
713,Acne,Low,Control,NA,2,3,21,0,0,100,0,0.14,NA,4.82,65.52,0.16,11.19,12.2
714,Acru,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,67.56,0.03,9.88,11.53
715,Acne,Low,Control,NA,2,6,42,0,2,100,2,-0.02,NA,4.33,64.47,0.16,10.92,11.97
717,Acsa,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,75,0.04,9.83,7.94
719,Acne,Low,Control,NA,2,9,63,0,0,100,0,-0.04,NA,4.17,67.56,0.03,9.88,11.53
721,Acru,Low,Control,NA,2,3,21,0,0,87,0,-0.24,NA,5.16,52.75,0.08,8.83,8.53
723,Acsa,Low,Control,NA,2,3,21,0,NA,NA,NA,NA,12.18,NA,49.72,0.13,10.2,7.79
724,Acne,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,48.45,0.03,8.44,7.72
732,Acne,Low,Control,NA,2,3,21,0,NA,NA,NA,NA,8.99,NA,51.67,0.18,12.69,14.51
733,Acru,Low,Control,NA,2,6,42,0,1,100,1,-0.4,NA,8.13,59.91,-0.02,8.41,10.16
741,Acru,Low,Control,NA,2,9,63,0,0,100,0,-0.51,NA,6.42,39.86,-0.12,5.87,8.51
745,Acru,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,72.41,0.02,9.39,5.37
750,Acsa,Low,Control,NA,2,6,42,0,NA,NA,NA,NA,10.35,NA,39.8,-0.11,6.38,8.22
753,Acru,Low,Control,NA,2,3,21,0,NA,NA,NA,NA,10.88,NA,48.31,0.18,12.11,7.73
758,Acne,Low,Control,NA,2,6,42,0,NA,NA,NA,NA,12.14,NA,43.29,0.16,11.15,6.6
765,Acne,Low,Control,NA,2,9,63,0,NA,NA,NA,NA,11.32,NA,54,0.05,10.04,13.66
766,Acne,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,85.07,-0.05,9.87,5.35
769,Acru,Low,Control,NA,2,6,42,0,NA,NA,NA,NA,6.94,NA,71,-0.02,8.92,5.5
773,Acru,Low,Control,NA,2,9,63,0,NA,NA,NA,NA,8.57,NA,48.45,0.03,8.44,7.72
776,Acru,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,47,0.18,11.21,7.02
778,Acne,Low,Control,NA,2,3,21,0,0,100,0,0.07,NA,3.71,72.41,0.02,9.39,5.37
785,Acsa,Low,Control,NA,2,9,63,0,NA,NA,NA,NA,12.14,NA,71.65,0,9.31,4.37
786,Acsa,Low,Control,NA,2,NA,63,1,NA,NA,NA,NA,NA,NA,28.28,-0.21,5.46,9.93
789,Acsa,Low,Control,NA,2,3,21,0,0,100,0,-0.01,NA,15.04,79.31,0.23,13.81,7.82
790,Acru,Low,Control,NA,2,3,21,0,0,100,0,0.01,NA,10.3,61.57,-0.1,7.48,5.86
805,Acne,Low,Control,NA,3,6,42,0,0,100,0,0.13,NA,4.6,72.41,0.02,9.39,5.37
806,Acru,Low,Control,NA,3,6,42,0,0,76,0,-0.18,NA,3.04,52.43,-0.09,5.64,8.55
814,Acne,Low,Control,NA,3,9,63,0,0,92,0,-0.11,NA,6,65,-0.09,7.98,1.79
825,Acsa,Low,Control,NA,3,6,42,0,0,100,0,0.16,NA,14.28,58,-0.13,6.71,9.6
830,Acsa,Low,Control,NA,3,9,63,0,0,100,0,0.07,NA,14.28,63,0.01,8.51,3.79
834,Acsa,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,72.95,0.09,10.23,11.95
835,Acru,Low,Control,NA,3,9,63,0,0,84,0,-0.08,NA,4.14,70,0.14,10.61,10.62
840,Acne,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,52.11,0.03,8.48,8.24
841,Acsa,Low,Control,NA,3,3,21,0,NA,NA,NA,NA,6.87,NA,78,0,9.96,4.26
847,Acru,Low,Control,NA,3,NA,57,1,NA,NA,NA,NA,NA,NA,48.45,0.03,8.44,7.72
850,Acsa,Low,Control,NA,3,6,42,0,NA,NA,NA,NA,10.7,NA,85,0.03,10.54,3.74
852,Acru,Low,Control,NA,3,3,21,0,NA,NA,NA,NA,4.53,NA,67.91,0.04,9.92,11.55
854,Acsa,Low,Control,NA,3,9,63,0,NA,NA,NA,NA,6.78,NA,56,-0.01,8.58,13.71
858,Acsa,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,72.41,0.02,9.39,5.37
864,Acru,Low,Control,NA,3,6,42,0,NA,NA,NA,NA,7.15,NA,68,0.02,8.93,6.86
874,Acsa,Low,Control,NA,3,3,21,0,0,100,0,-0.06,NA,9.38,66.64,0.15,10.67,11.42
879,Acne,Low,Control,NA,3,3,21,0,NA,NA,NA,NA,0.24,NA,67.56,0.03,9.88,11.53
882,Acne,Low,Control,NA,3,6,42,0,NA,NA,NA,NA,8.78,NA,75,0.11,10.47,11.76
892,Acne,Low,Control,NA,3,9,63,0,NA,NA,NA,NA,9.94,NA,42,-0.19,6.87,6.45
897,Acsa,Low,Control,NA,3,6,42,0,0,100,0,0.08,NA,12.86,39.97,-0.11,6.83,7.23
898,Acru,Low,Control,NA,3,9,63,0,NA,NA,NA,NA,NA,NA,72.41,0.02,9.39,5.37
904,Acru,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,35.05,0.03,7.78,3.65
907,Acsa,Low,Control,NA,3,9,63,0,0,100,0,0.26,NA,13.73,48.45,0.03,8.44,7.72
915,Acne,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,64,0,8.36,5.24
926,Acne,Low,Control,NA,3,3,21,0,0,100,0,-0.11,NA,4.61,67.56,0.03,9.88,11.53
927,Acsa,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,49,0.06,8.46,10.76
929,Acne,Low,Control,NA,3,6,42,0,0,100,0,0,NA,5.06,72.41,0.02,9.39,5.37
934,Acru,Low,Control,NA,3,3,21,0,0,100,0,-0.02,NA,3.43,45,-0.06,7.2,10.98
935,Acru,Low,Control,NA,3,6,42,0,0,100,0,0.12,NA,8.41,65,-0.09,7.74,7.57
945,Acne,Low,Control,NA,3,9,63,0,1,100,1,-0.06,NA,5.57,52.21,-0.1,4.37,8.56
946,Acru,Low,Control,NA,3,9,63,0,0,100,0,-0.03,NA,6.22,64.48,0.19,11.82,12.05
961,Acne,Low,Control,NA,3,NA,52,1,NA,NA,NA,NA,NA,NA,48.45,0.03,8.44,7.72
963,Acne,Low,Control,NA,3,3,21,0,NA,NA,NA,NA,12.87,NA,61,-0.04,8.51,10.65
964,Acne,Low,Control,NA,3,6,42,0,NA,NA,NA,NA,7.84,NA,74.52,0.01,9.69,5.18
974,Acsa,Low,Control,NA,3,3,21,0,NA,NA,NA,NA,8.14,NA,71.11,-0.02,9.11,4.98
987,Acru,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,67.56,0.03,9.88,11.53
989,Acsa,Low,Control,NA,3,6,42,0,NA,NA,NA,NA,10.69,NA,67.56,0.03,9.88,11.53
990,Acne,Low,Control,NA,3,9,63,0,NA,NA,NA,NA,6.47,NA,51.23,0.07,8.94,8.51
997,Acne,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,48.45,0.03,8.44,7.72
1004,Acsa,Low,Control,NA,3,9,63,0,NA,NA,NA,NA,13.55,NA,72.57,0.15,11.78,6.85
1009,Acne,Low,Control,NA,3,3,21,0,1,100,1,-0.42,NA,4.38,71,0.14,11.26,7.4
1014,Acru,Low,Control,NA,3,3,21,0,NA,NA,NA,NA,4.73,NA,75.83,0.01,9.93,5.3
1019,Acsa,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,61,-0.01,9.98,14.88
1022,Acne,Low,Control,NA,3,6,42,0,0,100,0,0.01,NA,6.33,72.41,0.02,9.39,5.37
1029,Acsa,Low,Control,NA,3,3,21,0,0,100,0,0.18,NA,13.56,39.97,-0.11,6.82,7.23
1032,Acsa,Low,Control,NA,3,6,42,0,0,100,0,0.06,NA,13.7,52,-0.17,7.94,12.17
1036,Acru,Low,Control,NA,3,6,42,0,NA,NA,NA,NA,5.76,NA,72.41,0.02,9.39,5.37
1037,Acru,Low,Control,NA,3,9,63,0,NA,NA,NA,NA,8,NA,59.54,0.26,13.6,13.57
1042,Acsa,Low,Control,NA,3,9,63,0,0,100,0,0.03,NA,14.13,34.3,-0.12,5.39,9.2
1045,Acne,Low,Control,NA,3,9,63,0,0,100,0,-0.15,NA,6.16,63.69,-0.01,8.58,10.87
1050,Acru,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,69,0,9.49,12.06
1051,Acru,Low,Control,NA,3,3,21,0,0,82,0,-0.11,NA,2.5,67.7,0,9.35,11.32
1055,Acru,Low,Control,NA,3,6,42,0,0,100,0,-0.37,NA,4.98,80.64,0.26,14.17,8.15
1058,Acne,Low,Control,NA,3,NA,52,1,NA,NA,NA,NA,NA,NA,48.45,0.03,8.44,7.72
1059,Acru,Low,Control,NA,3,9,63,0,0,90,0,-0.34,NA,2.27,35.13,-0.13,6.52,6.8
1060,Acne,Low,Control,NA,3,3,21,0,NA,NA,NA,NA,8.4,NA,70.67,-0.14,8.17,5.59
1064,Acsa,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,26.09,-0.19,6.66,8.1
1075,Acru,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,84,0,10.12,5.78
1082,Acru,Low,Control,NA,3,3,21,0,NA,NA,NA,NA,7.83,NA,52.21,-0.11,4.99,8.61
1086,Acne,Low,Control,NA,3,6,42,0,NA,NA,NA,NA,13.15,NA,49.83,0.03,8.38,7.47
1087,Acsa,Low,Control,NA,3,3,21,0,NA,NA,NA,NA,11.7,NA,43,0.23,11.69,10.61
1088,Acru,Low,Control,NA,3,6,42,0,NA,NA,NA,NA,5.25,NA,33.3,-0.13,4.92,9.14
1089,Acru,Low,Control,NA,3,9,63,0,NA,NA,NA,NA,4.82,NA,65.57,0.17,11.46,12.22
1093,Acsa,Low,Control,NA,3,6,42,0,NA,NA,NA,NA,13.76,NA,72.41,0.02,9.39,5.37
1096,Acne,Low,Control,NA,3,9,63,0,NA,NA,NA,NA,7.42,NA,36,0.02,7.76,7.95
1105,Acru,Low,Control,NA,3,NA,33,1,NA,NA,NA,NA,NA,NA,67.56,0.03,9.88,11.53
1107,Acru,Low,Control,NA,3,3,21,0,0,100,0,-0.32,NA,4.87,69,-0.28,7.91,7.2
1128,Acne,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,48.45,0.03,8.44,7.72
1135,Acne,Low,Control,NA,3,3,21,0,0,100,0,-0.31,NA,2.95,35.23,-0.13,6.17,7.1
1136,Acne,Low,Control,NA,3,6,42,0,0,100,0,-0.21,NA,5.35,55.91,-0.12,6.83,11.45
1140,Acru,Low,Control,NA,3,6,42,0,0,100,0,-0.06,NA,4.09,48.45,0.03,8.44,7.72
1148,Acne,Low,Control,NA,3,9,63,0,0,100,0,-0.23,NA,6.57,63,0.11,9.64,3.99
1155,Acru,Low,Control,NA,3,9,63,0,1,100,1,-0.17,NA,3.56,52.21,-0.1,4.39,8.56
1163,Acsa,Low,Control,NA,3,9,63,0,NA,NA,NA,NA,8.67,NA,67.56,0.03,9.88,11.53
1172,Acsa,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,48.45,0.03,8.44,7.72
1173,Acsa,Low,Control,NA,3,3,21,0,0,100,0,-0.03,NA,13.37,73.75,0.08,10.28,11.84
1174,Acru,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,62,-0.1,7.35,6.42
1184,Acsa,Low,Control,NA,3,6,42,0,0,100,0,0.04,NA,11.73,67.56,0.03,9.88,11.53
1187,Acsa,Low,Control,NA,3,9,63,0,0,100,0,0.13,NA,14.01,64.04,-0.01,8.74,11.18
1193,Acsa,Low,Control,NA,3,NA,26,1,NA,NA,NA,NA,NA,NA,67.56,0.03,9.88,11.53
1195,Acne,Low,Control,NA,3,NA,63,1,NA,NA,NA,NA,NA,NA,72.41,0.02,9.39,5.37
1201,Acsa,High,Control,NA,4,3,21,0,NA,NA,NA,NA,12.81,NA,53,0.24,11.99,12.92
1204,Acsa,High,Control,NA,4,6,42,0,NA,NA,NA,NA,17.28,NA,71.08,0.23,11.72,6.11
1206,Acne,High,Control,NA,4,3,21,0,NA,NA,NA,NA,14.19,NA,48,0.13,10.63,12.77
